rend	r_latin	család	cs_latin	faj	f_latin	max_cm	min_Celsius	max_Celsius
Sokúszós csuka alakúak	(Polypteriformes)	Sokúszós csukafélék	(Polypteridae)	kígyófejû hal vagy afrikai sokúszós angolna	(Erpetoichthys calabaricus)	40	22	28
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	aranyhal, fátyolos aranyhal, gombafejû aranyhal	(Carassius auratus auratus)	30	21	26
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	bíborfejû díszmárna 	(Barbus nigrofasciatus)	12	18	26
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	karcsú díszmárna	(Barbus titteya)	15	22	25
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	rózsás díszmárna	(Barbus conchonius)	20	20	23
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	szumátrai díszmárna	(Barbus tetrazona)	11	20	26
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	ékfoltos razbóra	(Rasbora heteromorpha)	7	18	26
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	háromsávos razbóra	(Rasbora borapetensis)	8	21	26
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	zebradánió	(Danio rerio)	10	20	26
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	leopárd dánió	(Danio frankei)	10	20	25
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	színjátszó dánió	(Danio albolineatus)	10	20	22
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	pettyesúszójú dánió	(Danio nigrofasciatus)	10	18	22
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	kék dánió	(Danio kerri)	20	18	23
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	malabári dánió	(Devario malabaricus)	20	20	25
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	gyöngy dánió	(Danio margaritatus)	20	18	24
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	cápamárna	(Balantiocheilos melanopterus)	25	22	26
pontyalakúak	(Cypriniformes)	pontyfélék	(Cyprinidae)	Stendhal-hal	(Epalzeorhynchos bicolor)	15	21	22
pontyalakúak	(Cypriniformes)	algaevõ pontyfélék	(Gyrinocheilidae)	moszatevõ márna	(Gyrinocheilus aymonieri)	12	20	24
pontyalakúak	(Cypriniformes)	kövicsíkfélék	(Balitoridae)	tányérhasú algaevõ	(Pseudogastromyzon cheni)	15	19	23
